variable,treated_mean,control_mean,smd,weighted_treated_mean,weighted_control_mean,weighted_smd,status
Lag1PrescriptionLog,0,0,0,0,0,0,Acceptable
PreviousQuarterAccessGap,17.184700017041685,2.8935199409681576,1.8559068190333983,17.184700017041685,8.784133783852285,0.854551867309157,Warning
PreviousQuarterNumericDistribution,35.15644835173844,2.9429998481212105,2.2550562698401833,35.15644835173844,11.36218146288634,1.3615787539357935,Warning
PreviousQuarterWeightedDistribution,52.341148465576495,5.836519787757352,2.6576283057348347,52.341148465576495,20.1463152733567,1.3847248919326796,Warning
QuarterSinceApproval,9.835719154737559,6.616811891337775,0.7761220298433856,9.835719154737559,7.662968515490678,0.5177354040453334,Warning
StateHistoricalMarketWeight,0.013047320137745486,0.017897131444602307,-0.2785658699975209,0.013047320137745486,0.015277819221293622,-0.1391052775545793,Warning
